issue_id,store_id,store_name,region_id,region_name,reported_by_role,reporter_name,issue_type,severity,title,description,category,status,created_at,resolved_at,resolution_notes,escalated_to_regional,related_policy,affected_sku,estimated_revenue_impact_usd
ISS-011,STR-104,Riverside Commons,REG-NE,Northeast,store_manager,James Wright,operational,medium,Self-checkout lane 3 and 5 error loops — customer frustration,"Two of six self-checkout lanes throwing card reader errors intermittently. Customers abandoning SCO for staffed lanes, creating long lines. IT ticket #IT-88421 open since 4/8, no response yet.",equipment,open,2026-04-10T13:00:00Z,,,no,POL-IT-002: POS System Escalation,N/A,0
ISS-012,STR-108,Westfield Junction,REG-NE,Northeast,store_manager,Carlos Mendez,inventory_gap,critical,Warehouse delivery 6 hours late — fresh produce wilting on truck,"Scheduled 5AM delivery arrived at 11AM. Truck refrigeration was marginal. Lettuce, berries, and cut fruit look borderline. Need quality inspection guidance — accept partial, reject all, or document and accept with discount claim?",inventory,open,2026-04-12T11:15:00Z,,,yes,POL-INV-008: Delivery Quality Rejection,SKU-MULTI,3500
ISS-013,STR-105,College Town Express,REG-NE,Northeast,store_manager,Priya Sharma,customer_escalation,medium,Online order pickup — 4 orders unfulfillable due to out-of-stock,"Four BOPIS (buy online pick up in store) orders can't be fulfilled — items show in-stock in system but shelf is empty. Customers arriving expecting orders. System inventory vs physical count mismatch. Need process for customer communication and system correction.",operational,in_progress,2026-04-11T15:30:00Z,,,no,POL-ECOM-001: BOPIS Fulfillment Failures,SKU-MULTI,280
ISS-014,STR-106,Downtown Central,REG-NE,Northeast,store_manager,Robert Kim,compliance,high,Fire exit blocked by delivery pallets — code violation,"Morning delivery crew left 4 pallets blocking rear fire exit. Discovered during opening walk. Cleared immediately but this is the second time in 30 days. Need formal vendor warning + documentation for fire marshal compliance file.",compliance,resolved,2026-04-09T07:00:00Z,2026-04-09T07:45:00Z,Pallets cleared in 45 min. Vendor (QuickShip Logistics) issued written warning. Photo documentation filed. Added to delivery SOP checklist.,no,POL-SAFETY-005: Emergency Exit Compliance,N/A,0
ISS-015,STR-101,Greenfield Plaza,REG-NE,Northeast,store_manager,Maria Chen,staffing,low,Employee requesting ADA accommodation — ergonomic equipment,"Long-term associate (12 years) submitted ADA accommodation request for standing desk mat and modified lifting restrictions. Need HR guidance on approval process and timeline. Employee is in good standing.",staffing,open,2026-04-10T10:00:00Z,,,no,POL-HR-015: ADA Accommodation Process,N/A,0
ISS-016,STR-107,Lakeside Fresh,REG-NE,Northeast,store_manager,Angela Torres,operational,medium,Competitor opened across the street — pricing intelligence needed,"New discount grocery (FreshMart) opened 4/5 across the street. Anecdotally seeing 10-15% foot traffic drop. Team did informal price comparison on 20 staples — we're 8-22% higher on 14 items. Requesting competitive response guidance.",competitive,open,2026-04-10T12:00:00Z,,,yes,POL-PRICING-001: Competitive Response Protocol,N/A,5000
ISS-017,STR-108,Westfield Junction,REG-NE,Northeast,store_manager,Carlos Mendez,equipment_failure,low,Shopping cart corral — 12 carts with broken wheels,"Accumulated 12 carts with locked/broken wheels in the corral. Customers grabbing them and returning immediately. Cart vendor contract allows batch replacement but minimum is 20. Requesting approval to add to next order or find interim solution.",equipment,open,2026-04-08T09:00:00Z,,,no,POL-MAINT-006: Equipment Replacement Thresholds,N/A,0
ISS-018,STR-103,Harbor View,REG-NE,Northeast,regional_manager,Sandra Williams,cross_store_pattern,high,Regional pattern: DairyFresh Co affecting 4+ stores — vendor review,"I'm seeing DairyFresh Co delivery failures across Greenfield (ISS-001), Elm Street (ISS-002), and reports from 2 stores in adjacent region. This is a systemic vendor issue. Initiating 30-day vendor performance review. Need: (1) backup supplier list for organic dairy, (2) penalty clause from DairyFresh contract, (3) customer communication template for affected SKUs.",vendor_management,in_progress,2026-04-12T11:00:00Z,,,N/A,POL-VENDOR-001: Vendor Performance Review,SKU-4411,4200
ISS-019,STR-ALL,All Northeast Stores,REG-NE,Northeast,regional_manager,Sandra Williams,strategic,medium,Q2 shrinkage trending 15% above target — action plan needed,"Regional shrinkage report shows NE region at 2.3% vs 2.0% target. Lakeside (STR-107) is the outlier at 3.1%. Requesting: (1) store-by-store shrinkage breakdown, (2) LP audit schedule acceleration for top 3 stores, (3) comparison to other regions.",shrinkage,open,2026-04-11T08:00:00Z,,,N/A,POL-LP-001: Shrinkage Management,N/A,45000
ISS-020,STR-ALL,All Northeast Stores,REG-NE,Northeast,regional_manager,Sandra Williams,strategic,low,Summer hiring pipeline — seasonal staffing forecast,"Summer volume increase starts mid-May. Historical data shows we need 40-50 seasonal hires across 8 stores. Last year we started recruiting 4/15 and still had gaps in June. Requesting: (1) store-by-store headcount forecast, (2) job fair coordination, (3) training schedule template.",staffing,open,2026-04-09T10:00:00Z,,,N/A,POL-HR-020: Seasonal Hiring Playbook,N/A,0
